ParentStringCompressed; AppliedRuleID; ApplicationCount; SuccessfulCount; LastUpdated
MUIUIUIUI2UIUIUIUIU; 2; 31; 0; 2025/09/01 17:46:43
MUIUIUIUI2UIUIUIUIU; 4; 31; 0; 2025/09/01 17:46:43
M5UI5UI5UI5UI; 1; 29; 0; 2025/09/01 17:47:27
M5UI5UI5UI5UI; 2; 29; 0; 2025/09/01 17:47:27
M5UI5UI5UI5UI; 4; 29; 0; 2025/09/01 17:47:27
MUI2UI2UI2UI2UI2UI2UI2UIU; 2; 31; 0; 2025/09/01 17:46:35
MUI2UI2UI2UI2UI2UI2UI2UIU; 4; 31; 0; 2025/09/01 17:46:35
M5UI6UIU; 2; 29; 0; 2025/09/01 17:47:03
M5UI6UIU; 4; 29; 0; 2025/09/01 17:47:03
M5UI5UIU; 2; 29; 0; 2025/09/01 17:47:26
M5UI5UIU; 4; 29; 0; 2025/09/01 17:47:26
M2U2I2U2I2U2I2U2IU; 2; 29; 0; 2025/09/01 17:47:00
M2U2I2U2I2U2I2U2IU; 4; 29; 0; 2025/09/01 17:47:00
MU2I2U2IU; 2; 31; 0; 2025/09/01 17:46:24
MU2I2U2IU; 4; 31; 0; 2025/09/01 17:46:24
MUIUIUIUIUIUIUIUIU; 2; 31; 0; 2025/09/01 17:46:48
MUIUI2UIUI2UIUI2UIUIU; 2; 31; 0; 2025/09/01 17:46:42
MUIUI2UIUI2UIUI2UIUIU; 4; 31; 0; 2025/09/01 17:46:42
MUIUIUIUIUIUIUIUI2UIUIUIUIUIUIUIUIU; 2; 31; 0; 2025/09/01 17:46:48
MUIUIUIUIUIUIUIUI2UIUIUIUIUIUIUIUIU; 4; 31; 0; 2025/09/01 17:46:48
M2UIU; 2; 31; 0; 2025/09/01 17:46:24
M2UIU; 4; 31; 0; 2025/09/01 17:46:24
M5UI6UI6UI6UIU; 2; 29; 0; 2025/09/01 17:47:03
M5UI6UI6UI6UIU; 4; 29; 0; 2025/09/01 17:47:03
M5UI5UI6UI5UIU; 2; 29; 0; 2025/09/01 17:47:26
M5UI5UI6UI5UIU; 4; 29; 0; 2025/09/01 17:47:26
M2U2I2U2I3U2I2U2I3U2I2U2I3U2I2U2IU; 2; 29; 0; 2025/09/01 17:46:59
M2U2I2U2I3U2I2U2I3U2I2U2I3U2I2U2IU; 4; 29; 0; 2025/09/01 17:46:59
MUIUIUIUI2UIUIUIUI2UIUIUIUI2UIUIUIUIU; 2; 31; 0; 2025/09/01 17:46:47
MUIUIUIUI2UIUIUIUI2UIUIUIUI2UIUIUIUIU; 4; 31; 0; 2025/09/01 17:46:47
MUIU2IUI2UIU2IUIU; 2; 31; 0; 2025/09/01 17:46:37
MUIU2IUI2UIU2IUIU; 4; 31; 0; 2025/09/01 17:46:38
MU2I2U2I2U2I2U2IU; 2; 31; 0; 2025/09/01 17:46:34
MU2I2U2I2U2I2U2IU; 4; 31; 0; 2025/09/01 17:46:34
MU4I2U4IU; 2; 31; 0; 2025/09/01 17:46:26
MU4I2U4IU; 3; 31; 0; 2025/09/01 17:46:26
MU4I2U4IU; 4; 31; 0; 2025/09/01 17:46:26
MUIUIUIU2IUIUIUIU; 2; 31; 0; 2025/09/01 17:46:43
M2U2I2U2I2U2I2U2I3U2I2U2I2U2I2U2IU; 2; 29; 0; 2025/09/01 17:47:00
M2U2I2U2I2U2I2U2I3U2I2U2I2U2I2U2IU; 4; 29; 0; 2025/09/01 17:47:00
MUIU2IU2IU2IUIU; 2; 31; 0; 2025/09/01 17:46:38
MUIUI2UIUI2UIUI2UIUI2UIUI2UIUI2UIUI2UIUIU; 2; 31; 0; 2025/09/01 17:46:42
MUIUI2UIUI2UIUI2UIUI2UIUI2UIUI2UIUI2UIUIU; 4; 31; 0; 2025/09/01 17:46:42
M2IU2IU2IU2IU2IU2IU2IU2IU2IU2IU2IU2IU2IU2IU2IU2IU; 2; 33; 0; 2025/09/01 17:46:23
MUIUIUIU2IUIUIUI2UIUIUIU2IUIUIUIU; 2; 31; 0; 2025/09/01 17:46:43
MUIUIUIU2IUIUIUI2UIUIUIU2IUIUIUIU; 4; 31; 0; 2025/09/01 17:46:43
M2UI3UIU; 2; 31; 0; 2025/09/01 17:46:25
M2UI3UIU; 4; 31; 0; 2025/09/01 17:46:25
MUIU2IU2IU2IUI2UIU2IU2IU2IUIU; 2; 31; 0; 2025/09/01 17:46:38
MUIU2IU2IU2IUI2UIU2IU2IU2IUIU; 4; 31; 0; 2025/09/01 17:46:38
MUIU2IUI2UIU2IUI2UIU2IUI2UIU2IUIU; 2; 31; 0; 2025/09/01 17:46:41
MUIU2IUI2UIU2IUI2UIU2IUI2UIU2IUIU; 4; 31; 0; 2025/09/01 17:46:41
MU2I2U2I2U2I2U2I2U2I2U2I2U2I2U2IU; 2; 31; 0; 2025/09/01 17:46:34
MU2I2U2I2U2I2U2I2U2I2U2I2U2I2U2IU; 4; 31; 0; 2025/09/01 17:46:34
MU4I2U4I2U4I2U4IU; 2; 31; 0; 2025/09/01 17:46:33
MU4I2U4I2U4I2U4IU; 3; 31; 0; 2025/09/01 17:46:33
MU4I2U4I2U4I2U4IU; 4; 31; 0; 2025/09/01 17:46:33
M2UI3UI3UI3UIU; 2; 31; 0; 2025/09/01 17:46:25
M2UI3UI3UI3UIU; 4; 31; 0; 2025/09/01 17:46:25
M5UI5UI5UI5UIU; 2; 29; 0; 2025/09/01 17:47:27
M5UI5UI5UI5UIU; 4; 29; 0; 2025/09/01 17:47:27
MU8IU; 2; 31; 0; 2025/09/01 17:46:26
MU8IU; 3; 31; 0; 2025/09/01 17:46:26
MU8I2U8IU; 2; 31; 0; 2025/09/01 17:46:31
MU8I2U8IU; 3; 31; 0; 2025/09/01 17:46:31
MU8I2U8IU; 4; 31; 0; 2025/09/01 17:46:31
M3U2IU; 2; 31; 0; 2025/09/01 17:46:26
M3U2IU; 4; 31; 0; 2025/09/01 17:46:26
M5UI5UI5UI5UI5UI5UI5UI5UI; 1; 29; 0; 2025/09/01 17:47:28
M5UI5UI5UI5UI5UI5UI5UI5UI; 2; 29; 0; 2025/09/01 17:47:28
M5UI5UI5UI5UI5UI5UI5UI5UI; 4; 29; 0; 2025/09/01 17:47:28
MUI2UI2UI2UI2UI2UI2UI2UI2UI2UI2UI2UI2UI2UI2UI2UIU; 2; 31; 0; 2025/09/01 17:46:35
MUI2UI2UI2UI2UI2UI2UI2UI2UI2UI2UI2UI2UI2UI2UI2UIU; 4; 31; 0; 2025/09/01 17:46:35
M3U2I4U2IU; 2; 31; 0; 2025/09/01 17:46:26
M3U2I4U2IU; 4; 31; 0; 2025/09/01 17:46:26
MU8I2U8I2U8I2U8IU; 2; 31; 0; 2025/09/01 17:46:31
MU8I2U8I2U8I2U8IU; 3; 31; 0; 2025/09/01 17:46:32
MU8I2U8I2U8I2U8IU; 4; 31; 0; 2025/09/01 17:46:31
M2UI3UI3UI3UI3UI3UI3UI3UIU; 2; 31; 0; 2025/09/01 17:46:25
M2UI3UI3UI3UI3UI3UI3UI3UIU; 4; 31; 0; 2025/09/01 17:46:25
M3U2I4U2I4U2I4U2IU; 2; 31; 0; 2025/09/01 17:46:26
M3U2I4U2I4U2I4U2IU; 4; 31; 0; 2025/09/01 17:46:26
M5UI5UI5UI5UI6UI5UI5UI5UIU; 2; 29; 0; 2025/09/01 17:47:27
M5UI5UI5UI5UI6UI5UI5UI5UIU; 4; 29; 0; 2025/09/01 17:47:27
MIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIUIU; 2; 34; 0; 2025/09/01 17:46:22
M5UI5UI6UI5UI6UI5UI6UI5UIU; 2; 29; 0; 2025/09/01 17:47:26
M5UI5UI6UI5UI6UI5UI6UI5UIU; 4; 29; 0; 2025/09/01 17:47:26
M10U2I; 1; 29; 0; 2025/09/01 17:47:10
M10U2I; 2; 29; 0; 2025/09/01 17:47:09
M10U2I; 4; 29; 0; 2025/09/01 17:47:10
M10U2IU; 2; 29; 0; 2025/09/01 17:47:07
M10U2IU; 4; 29; 0; 2025/09/01 17:47:07
M10U2I10U2I; 1; 29; 0; 2025/09/01 17:47:10
M10U2I10U2I; 2; 29; 0; 2025/09/01 17:47:10
M10U2I10U2I; 4; 29; 0; 2025/09/01 17:47:10
M10U2I11U2IU; 2; 29; 0; 2025/09/01 17:47:07
M10U2I11U2IU; 4; 29; 0; 2025/09/01 17:47:07
M10U2I10U2IU; 2; 29; 0; 2025/09/01 17:47:10
M10U2I10U2IU; 4; 29; 0; 2025/09/01 17:47:10
M10U2I10U2I10U2I10U2I; 1; 29; 0; 2025/09/01 17:47:11
M10U2I10U2I10U2I10U2I; 2; 29; 0; 2025/09/01 17:47:11
M10U2I10U2I10U2I10U2I; 4; 29; 0; 2025/09/01 17:47:11
M10U2I10U2I11U2I10U2IU; 2; 29; 0; 2025/09/01 17:47:10
M10U2I10U2I11U2I10U2IU; 4; 29; 0; 2025/09/01 17:47:10
MU4I2U4I2U4I2U4I2U4I2U4I2U4I2U4IU; 2; 31; 0; 2025/09/01 17:46:33
MU4I2U4I2U4I2U4I2U4I2U4I2U4I2U4IU; 3; 31; 0; 2025/09/01 17:46:33
MU4I2U4I2U4I2U4I2U4I2U4I2U4I2U4IU; 4; 31; 0; 2025/09/01 17:46:33
M10U2I11U2I11U2I11U2IU; 2; 29; 0; 2025/09/01 17:47:07
M10U2I11U2I11U2I11U2IU; 4; 29; 0; 2025/09/01 17:47:07
